reanalysed				
ID	Gene.symbol	logFC	P.Value	adj.P.Val
1422445_at	Itga6	0.8295950158	0.0001691917	0.0275477101
1451905_a_at	Mx1	-1.0275940737	0.000171588	0.0278373801
1426725_s_at	Ets1	0.9476598359	0.0001773223	0.0285799451
1438224_at	Zswim5	1.4264780967	0.0001774325	0.0285799451
1455439_a_at	Lgals1	-1.4515971436	0.0001790924	0.0286333611
1415897_a_at	Mgst1	-1.0940329175	0.0001792925	0.0286333611
1427095_at	Cdcp1	0.7565202844	0.0001796688	0.0286333611
1450344_a_at	Ptger3	0.807938948	0.0001812724	0.0287872083
1448626_at	Cdk5rap1	-1.2516583612	0.0001826901	0.0287965943
1428960_at	Enkur	1.258228849	0.0001831043	0.0287965943
1456064_at	AI504432	-0.9047123242	0.0001861171	0.0287965943
1419074_at	Chac2	0.8442429152	0.0001863241	0.0287965943
1418219_at	Il15	-0.8982516634	0.0001868871	0.0287965943
1459913_at	Tnfsf10	0.8822281911	0.0001870231	0.0287965943
1455772_at	Pgr	2.05387102	0.0001872698	0.0287965943
1427000_at	Hnf4a	-1.4818619142	0.0001874103	0.0287965943
1434802_s_at	Ntf3	2.7419500373	0.0001874702	0.0287965943
1443657_at	Fhdc1	0.9525872362	0.0001877164	0.0287965943
1438122_at	Bbof1	1.3614894234	0.000189832	0.0290224211
1435176_a_at	Id2	1.3902027813	0.0001933618	0.029297856
1455660_at	Csf2rb	-1.5960079913	0.0001934604	0.029297856
1418464_at	Matn4	2.2467317957	0.0001942502	0.029297856
1425513_at	Map2k7	-1.070122901	0.0001945419	0.029297856
1434644_at	Tbl1x	-0.9321910197	0.0001948816	0.029297856
1419206_at	Cd37	-0.9289088616	0.0001998452	0.0299442471
1424051_at	Col4a2	-1.0865925186	0.0002018803	0.0301490139
1430520_at	Cpne8	1.2309968614	0.0002059571	0.0306563342
1452190_at	Prcp	0.996204137	0.0002101851	0.0311827584
1423274_at	Ints6	1.7619440706	0.000211477	0.0312715603
1426708_at	Antxr2	-0.9810107473	0.0002123187	0.0312934213
1446524_at		1.7499505588	0.0002143153	0.0314848007
1450931_at	Dock9	1.4255858322	0.000218596	0.032009413
1448145_at	Wwp2	0.8401966758	0.0002193393	0.0320143146
1457717_at	Tmem254a	0.9204596534	0.0002210273	0.0321566199
1430798_x_at	Mrpl15	-0.8715795865	0.0002229082	0.0323097026
1436599_at		1.0745135237	0.0002235123	0.0323097026
1424872_at	Zfp932	1.2926114115	0.00022519	0.0323365084
1454649_at	Srd5a1	1.1699007567	0.0002253001	0.0323365084
1453622_s_at	Mllt3	0.9916927002	0.0002258487	0.0323365084
1435893_at	Vldlr	1.3100375212	0.0002270087	0.0323997467
1425570_at	Slamf1	0.8820146034	0.0002356716	0.0334251207
1425215_at	Ffar2	1.4385854354	0.0002361411	0.0334251207
1429682_at	Fam46c	1.0210908598	0.0002364163	0.0334251207
1426319_at	Pdgfd	1.2679277355	0.0002390767	0.0336313325
1435792_at	LOC100503923///Gm15433///LOC100041903///Gm2666///Gm7609///Csprs	3.4065278563	0.0002393663	0.0336313325
1440297_at	Rnf220	-1.1624149848	0.0002475869	0.0346783139
1436964_at	Snhg14	1.7237080042	0.0002544396	0.0355278099
1456498_at	Itga4	-1.2374874857	0.0002563799	0.0356882386
1433919_at	Asb4	1.6532002931	0.0002601422	0.0361005385
1436233_at	Btnl9	-1.4284920413	0.000264657	0.0366144074
1427167_at	Armcx4	-0.9455543008	0.0002674768	0.036891347
1456060_at	Maf	1.7341582901	0.0002697534	0.0370839579
1441994_at	Pcdhb16	1.7767952837	0.0002705178	0.0370839579
1434278_at	Mtm1	0.8119944649	0.0002741729	0.0374711285
1432198_at	Prune2	1.2306317927	0.0002768548	0.0377121964
1431591_s_at	Isg15///Gm9706	-1.3431500709	0.0002776091	0.0377121964
1435313_at	Cd200r4	1.857802733	0.0002815564	0.0381335618
1423066_at	Dnmt3a	-0.9218895874	0.0002877966	0.0387929251
1452163_at	Ets1	0.9384150122	0.0002890258	0.0387929251
1428822_a_at	Snx24	0.6845116808	0.000290499	0.0387929251
1434109_at	Sh3bgrl2	1.2479250226	0.0002906917	0.0387929251
1422842_at	Xrn2	-0.9138625746	0.0002907255	0.0387929251
1417392_a_at	Slc7a7	1.4648192523	0.0002953689	0.039296259
1450639_at	Gm14085///Slc28a2	-0.9204209361	0.0002968819	0.0393813896
1418050_at	Gpld1	1.0305133475	0.0002997659	0.039545851
1427318_s_at	Myof	0.8395489814	0.0002999698	0.039545851
1427301_at	Cd48	-1.3568081141	0.0003013757	0.039545851
1448233_at	Prnp	0.8154462684	0.0003016291	0.039545851
1448873_at	Ocln	1.0925904137	0.000303394	0.0396619493
