reanalysed				
ID	Gene.symbol	logFC	P.Value	adj.P.Val
1448607_at	Nampt	0.9534233392	4.77549638750639e-05	0.0109599629
1421681_at	Nrg4	1.5286351864	4.83414878572732e-05	0.0109599629
1439476_at	Dsg2	2.2920764663	4.85029446070925e-05	0.0109599629
1435313_at	Cd200r4	0.933058463	4.86785651998039e-05	0.0109599629
1455234_at	B3galt1	1.7842219602	4.86939866308895e-05	0.0109599629
1423325_at	Pnn	-1.570560583	4.87115534005222e-05	0.0109599629
1452207_at	Cited2	0.8915789806	4.90705081547174e-05	0.0109599629
1423722_at	Vmp1	1.3394172533	4.90878808034593e-05	0.0109599629
1427986_a_at	Col16a1	0.8641508663	4.976204294937e-05	0.0110557532
1437784_at	Runx1t1	1.495684665	5.05260437817561e-05	0.0110907666
1433579_at	Tmem30b	2.6385553279	5.05672952275651e-05	0.0110907666
1430534_at	Rnase6	-1.3137151427	5.06573673584929e-05	0.0110907666
1455340_at	Dennd5b	1.9939239544	5.15021926478862e-05	0.0111913528
1433855_at	Abat	1.7596914613	5.16130770526622e-05	0.0111913528
1426655_a_at	Fam63a	0.9624667732	5.18687377725281e-05	0.0111927801
1424443_at	Tm6sf1	-1.5095889509	5.21160024536273e-05	0.0111927801
1443762_s_at	Sbf2	1.2860721967	5.38359091493755e-05	0.0114985826
1451507_at	Mef2c	1.035560574	5.42964047120625e-05	0.0114985826
1452187_at	Rbm5	-1.3230257582	5.46469328818024e-05	0.0114985826
1419480_at	Sell	-2.0745215708	5.46716348238882e-05	0.0114985826
1425792_a_at	Rorc	1.1175287077	5.49810218372453e-05	0.0114985826
1417019_a_at	Cdc6	-1.1753822571	5.53763951165792e-05	0.0114985826
1449052_a_at	Dnmt3b	-0.9878513663	5.5566890616804e-05	0.0114985826
1455609_at	Cit	-0.9468404804	5.57013807623427e-05	0.0114985826
1425513_at	Map2k7	-1.5028599923	5.58344513606636e-05	0.0114985826
1435701_at	Cyyr1	1.1976848316	5.73010726436061e-05	0.01167727
1447849_s_at	LOC102641248///Maf	2.8793675937	5.75550947574684e-05	0.01167727
1424733_at	P2ry14	-1.2752562497	5.7754112858668e-05	0.01167727
1416083_at	Zfand5	0.8789618777	5.79500344138033e-05	0.01167727
1427202_at	Mettl20	1.3815012957	5.79966846741584e-05	0.01167727
1421933_at	Cbx5	-0.97645831	5.8655269706587e-05	0.0117573836
1426301_at	Alcam	1.2522984438	5.90459780363964e-05	0.0117833303
1439527_at	Pgr	1.7704933589	5.97055244613327e-05	0.0118488856
1450641_at	Vim	-0.9315840415	5.98999116719866e-05	0.0118488856
1437939_s_at	Ctsc	1.6304494355	6.03384803058538e-05	0.0118835188
1455814_x_at	Ddx39	-0.7724075045	6.08286770373766e-05	0.011899614
1447640_s_at	Pbx3	1.1801843295	6.11523197590211e-05	0.011899614
1450389_s_at	Pip5k1b	1.2045791992	6.1404461891068e-05	0.011899614
1418472_at	Aspa	1.6373374837	6.14755785039808e-05	0.011899614
1419905_s_at	Hpgd	-1.9936153206	6.30773936879432e-05	0.0120796833
1427947_at	B9d2	-0.7857963979	6.32045994946151e-05	0.0120796833
1440173_x_at	Selp	2.6213678672	6.34527089157036e-05	0.0120796833
1429351_at	Klhl24	0.8446277266	6.36521244104626e-05	0.0120796833
1452196_a_at	Nckap1	1.2862582474	6.37450304954928e-05	0.0120796833
1420502_at	Sat1	1.3780411608	6.42799507088313e-05	0.0121300839
1454906_at	Rarb	2.4484129745	6.48739580878629e-05	0.0121911683
1426640_s_at	Trib2	1.174953465	6.539926283844e-05	0.0122388886
1437263_at	A730089K16Rik	2.009660631	6.58869212424606e-05	0.0122688959
1438868_at	Phf11d	1.720948635	6.63360402875242e-05	0.0122688959
1426887_at	Nudt10///Nudt11	1.3422944964	6.63757032803802e-05	0.0122688959
1425619_s_at	Dsg2	1.1912576395	6.68845949705205e-05	0.0123124984
1448233_at	Prnp	1.0009558236	6.78496514004029e-05	0.0124393786
1450058_at	Asph	0.9187179383	6.85150436393549e-05	0.0125105141
1436265_at	Gm10419	2.4719436268	6.99758160844845e-05	0.0127257229
1436808_x_at	Mcm5	-1.0166396095	7.10464167155215e-05	0.0128685319
1460304_a_at	Ubtf	-1.0117377146	7.25937344220247e-05	0.0130962001
1434170_at	Dcaf12l1	0.757534441	7.32038369621223e-05	0.0131536504
1417839_at	Cldn5	3.6368861512	7.36756693429548e-05	0.0131858983
1426806_at	Nabp1	1.0576027237	7.42173257343114e-05	0.0132298703
1448748_at	Plek	1.5599757662	7.47917610183106e-05	0.0132298703
1434891_at	Ptgfrn	2.0959660655	7.48013776210556e-05	0.0132298703
1448145_at	Wwp2	1.1159905955	7.556237065668e-05	0.0133122597
1456772_at	Ncf1	-1.5999414127	7.60234722610547e-05	0.0133413799
1460521_a_at	Nabp1	1.0840208402	7.69512096497266e-05	0.0134169258
1453181_x_at	Plscr1	1.0727891769	7.70489297720611e-05	0.0134169258
1449270_at	Plxdc2	-1.5003614473	7.7808181339871e-05	0.0134970261
1429055_at	Shtn1	1.1986418038	7.84870495467507e-05	0.0135626223
1419253_at	Mthfd2	-0.9957581427	8.04072820035162e-05	0.013789238
1454566_at	1700024P12Rik	-0.9871941127	8.0443476714997e-05	0.013789238
1425506_at	Mylk	0.9289021422	8.09294729697764e-05	0.013789238
1416120_at	Rrm2	-1.6084159501	8.1021442452729e-05	0.013789238
1448548_at	Gm2808///Tulp4	1.1862458425	8.21186810646184e-05	0.0139234385
1422444_at	Itga6	1.1220750654	8.30330270062697e-05	0.0140257399
1418050_at	Gpld1	1.1508342323	8.38985533652735e-05	0.0140729008
1423714_at	Asf1b	-1.1642783581	8.3936283233836e-05	0.0140729008
1449023_a_at	Ezh1	1.1982421709	8.46918151528804e-05	0.0141469835
1439050_at	Gclm	0.8267010298	8.52878208096164e-05	0.0141939705
1418168_at	Zcchc14	0.85505821	8.61058944198027e-05	0.0142774336
1439568_at	Greb1	1.9963677721	8.72233698745841e-05	0.0143024939
1431028_a_at	Pank1	-0.8116246862	8.73751389879285e-05	0.0143024939
1430387_at	1810073O08Rik	1.5425265188	8.75095135534558e-05	0.0143024939
1456318_at	Clec1a	2.278514609	8.75255165822832e-05	0.0143024939
1433992_at	Shroom2	1.0346661073	8.85778019138923e-05	0.0144221929
1448180_a_at	Hn1	-0.7637786328	8.98847375791258e-05	0.0144640874
1452203_at	Nabp1	0.9805982296	9.00409655787389e-05	0.0144640874
1417962_s_at	Ghr	1.2245988529	9.01031741809923e-05	0.0144640874
1434489_at	Elmo3	0.9041032791	9.01179257608843e-05	0.0144640874
1427739_a_at	Trp53	-0.7672624685	9.04454649272902e-05	0.0144651805
1431213_a_at	Gm3579	-3.8417513901	9.21302813435172e-05	0.0146825718
1452811_at	Atic	-1.1885402887	9.35393024980008e-05	0.0147589869
1419062_at	Epb41l3	-0.8754605621	9.35745091562189e-05	0.0147589869
1433919_at	Asb4	1.5073410037	9.35915002521876e-05	0.0147589869
1424766_at	Ercc6l	-1.243745882	9.48844817869247e-05	0.0149023019
