Genes	direction
Phxr4	-1
Lsp1	-1
Pom121	-1
1620401E04Rik	-1
2810429O05Rik	-1
Rhebl1	-1
Rfxap	-1
Skp2	-1
9530020D24Rik	-1
Anxa9	-1
0610033H09Rik	-1
1110001O19Rik	-1
Ralbp1	-1
Rnh1	-1
Cd79b	-1
0610012G03Rik	-1
Bicd2	-1
3110006P09Rik	-1
Map1lc3b	-1
Mrpl52	-1
H2-T24	-1
Sfrs14	-1
Plxnb2	-1
Ubc	-1
B230354K17Rik	-1
Nptxr	-1
ORF21	-1
1700013H19Rik	-1
Pfdn5	-1
3010002G01Rik	-1
Eif2ak4	-1
4930566A11Rik	-1
Git2	-1
5730593F17Rik	-1
1700023O11Rik	-1
Npepl1	-1
Siat9	-1
2810428I15Rik	-1
Fabp5	-1
Ddx4	-1
Rps25	-1
Eif4a2	-1
Mbtd1	-1
Uba52	-1
D3Ertd250e	-1
Ap2a2	-1
Ubc	-1
BC016188	-1
Spag5	-1
1110004P15Rik	-1
Cog1	-1
Zfp99	-1
Rbbp6	-1
Psmb3	-1
1190005L06Rik	-1
Hbb-b2	-1
na	-1
1810017G16Rik	-1
Myln	-1
Psmd7	-1
Lxn	-1
9930105H17Rik	-1
Nisch	-1
Rnpc2	-1
AV132191	-1
Pold1	-1
2210013K02Rik	-1
Kif2c	-1
Itgb4bp	-1
na	-1
Ephb2	-1
Mbd1	-1
D2Ertd217e	-1
Eif4el3	-1
Ifnar1	-1
Stx4a	-1
Gsta4	-1
B230317C12Rik	-1
Cox6b	-1
Zfp148	-1
Hist1h4i	-1
1500006O09Rik	-1
Surb7	-1
2810040C05Rik	-1
2310047M15Rik	-1
Ng23	-1
Ndufs5	-1
Supv3l1	-1
C1qdc1	-1
Baiap2	-1
Pfkfb1	-1
1500031J01Rik	-1
Dhps	-1
1620401E04Rik	-1
Ndufb8	-1
Ppp1r14b	-1
Hgfac	-1
Tgfb1i4	-1
B230354B21Rik	-1
Pgls	-1
Dia1	-1
2700094L05Rik	-1
Camkk2	-1
BC006653	-1
Slc4a2	-1
A430005L14Rik	-1
AFFX-MURINE_b1	-1
Fn1	-1
BB194075	-1
Abcd4	-1
Ddt	-1
Mtf1	-1
1810034K20Rik	-1
9930024E13Rik	-1
Gdap10	-1
Vdr	-1
Calm2	-1
Polb	-1
Y11009	-1
Psmb10	-1
Rpgrip1	-1
Gpsm3	-1
Cdk5	-1
Eif4ebp1	-1
Rnpc2	-1
Egfl8	-1
BG066069	-1
Hdac6	-1
6330406P08Rik	-1
Car3	-1
na	-1
BC024816	-1
1200009B18Rik	-1
Mmaa	-1
Xdh	-1
2610524G07Rik	-1
Cd37	-1
2810043O03Rik	-1
Gcl	-1
Rbp1	-1
Cops8	-1
Ndufa3	-1
Cklfsf1	-1
Tomm40	-1
2510027N19Rik	-1
Pias3	-1
Thtpa	-1
Terf2	-1
Phip	-1
Stk11	-1
2410118I19Rik	-1
Gtpbp3	-1
Recql4	-1
Prnpip1	-1
Ndufa3	-1
Snrpb	-1
Pxn	-1
Etnk1	-1
2010100O12Rik	-1
2410011G03Rik	-1
Rpl29	-1
2010301N04Rik	-1
Pura	-1
Ppib	-1
Sox4	-1
9330101J02Rik	-1
Serpinf1	-1
Camk2g	-1
Phb	-1
AFFX-BioC-3	-1
Rpl29	-1
0610010K14Rik	-1
Tubb2	-1
2310003F16Rik	-1
Nfkb2	-1
Rpl14	-1
Rpl27a	-1
5730461K03Rik	-1
Grin3b	-1
Gps2	-1
Vamp2	-1
Surf1	-1
Runx2	-1
BC004701	-1
6430576D04Rik	-1
1110054H05Rik	-1
1110035H17Rik	-1
Scye1	-1
Nisch	-1
Fxc1	-1
Smarca4	-1
Krt2-8	-1
Tceb2	-1
Cyp4f16	-1
Ddb2	-1
Rnpc2	-1
D11Moh34	-1
1110001A07Rik	-1
2700008B19Rik	-1
Ndufa11	-1
Ckap1	-1
2210021A15Rik	-1
Erdr1	-1
Ighmbp2	-1
Stk4	-1
Zfp288	-1
Slc6a13	-1
Ring1	-1
D11Ertd730e	-1
2810421I24Rik	-1
Ggtla1	-1
