Gene	direction
Me2	-1
Cdk2ap1	-1
Slc25a5	-1
Cks2	-1
Minos1	-1
Apitd1	-1
Uxt	-1
Ppp1r14b	-1
Smn1	-1
Ddx39	-1
Mgst1	-1
Ndufa4	-1
Fdps	-1
Atp5o	-1
Mcm3	-1
Ppih	-1
Rabl5	-1
Mtch2	-1
Pabpc4	-1
Rpa3	-1
Mrps33	-1
Ramp1	-1
Pola2	-1
Idh2	-1
Rad51	-1
Mapkapk2	-1
Rfc4	-1
Anxa2	-1
Ostc	-1
Man2b1	-1
Mrpl33	-1
Fbl	-1
Maoa	-1
Nuf2	-1
Gm885	-1
Wdhd1	-1
Xlr	-1
Fkbp4	-1
Prmt1	-1
Tyms	-1
Thyn1	-1
Arrb2	-1
Dut	-1
Ercc6l	-1
Sec61b	-1
Gfm1	-1
Mcm4	-1
Calm3	-1
Phkb	-1
Elovl5	-1
Ak4	-1
Cby1	-1
Emb	-1
Ptpn7	-1
Tmed10	-1
Sec61g	-1
Mthfd1l	-1
Pdcd5	-1
Tex2	-1
Capzb	-1
Rfwd3	-1
Fignl1	-1
Rnpep	-1
Rac2	-1
Shcbp1	-1
Dnajc19	-1
Nans	-1
Rrp15	-1
Ncf2	-1
Gm2701	-1
Eif1ad	-1
Wdr12	-1
Ebp	-1
Uba2	-1
Sec61g	-1
Hist1h3g	-1
Ostf1	-1
Pold3	-1
Hist1h4d	-1
Sec23b	-1
Capza1	-1
Uxt	-1
Ccne2	-1
Rrm2	-1
Ufsp2	-1
Cenpp	-1
Slc25a5	-1
Wdr12	-1
Kpna2	-1
Ttk	-1
Tspan5	-1
Nup205	-1
Polr3k	-1
Psmc2	-1
Mat2b	-1
Wdr74	-1
Atp6v0c	-1
Cd69	-1
Mrps23	-1
Cox7b	-1
Pole2	-1
Dap	-1
2810407C02Rik	-1
Cacybp	-1
Arl6ip4	-1
Mrpl18	-1
Gtf2f2	-1
Ppp1cc	-1
Sec61b	-1
Srl	-1
Cfl1	-1
Flna	-1
Tpx2	-1
Ndufv2	-1
Atp5g1	-1
Gart	-1
Bet1	-1
Psen1	-1
Psmc4	-1
Lias	-1
1300001I01Rik	-1
Gm6835	-1
Gapdh	-1
1500032L24Rik	-1
Nop56	-1
Gm16494	-1
Mgat2	-1
Psmc3ip	-1
Cdk1	-1
Spast	-1
3110003A17Rik	-1
Sae1	-1
Ctsz	-1
Rrs1	-1
Pdhx	-1
Ttc13	-1
Psph	-1
Cuta	-1
Mrps15	-1
Haus1	-1
Slc44a2	-1
Stk16	-1
Mrps18a	-1
B3gnt2	-1
Ltv1	-1
Ube2a	-1
Acot9	-1
Med21	-1
Dpy30	-1
Gars	-1
