Gene	Entry		
Mef2c	A0A0H2UKB6		
Mef2c	Q8CFN5		
Clec1a	A0A0N4SV03		
Clec1a	A0A0N4SVE6		
Clec1a	A0A0N4SWF3		
Clec1a	Q8BWY2		
Stom	P54116		
Slc6a15	A0A1W2P744		
Slc6a15	Q8BG16		
Cytip	Q91VY6		
