Gene	Freq_group	Log2FC
Idh3g	1	-1.2985653235653232
Rpl37a	1	-1.7485103785103786
AI463719	1	-1.3382356532356527
Smpd2	1	-1.5574664224664219
Y17678	1	-1.8765689865689867
1600010O03Rik	1	-2.3371855921855924
Gtf3c5	1	-1.8222832722832727
Paxip1	2	-0.7442066838873624
Ddit3	2	-0.6300244200244203
Clpp	1	-1.974236874236874
Cd86	4	-2.5232371409170327
Thrap5	1	-1.5478388278388278
Nnp1	1	-1.1437118437118443
Pitpnm	1	-2.44030525030525
Mrps34	1	-1.4832295482295481
Mtx1	1	-1.4574786324786324
2310005E10Rik	1	-2.407478632478632
Bat3	1	-1.4588705738705734
Coro1b	1	-1.4595665445665447
BC021381	1	-2.293687423687424
Phxr1	1	-1.5440109890109885
Sirt2	1	-1.027368742368742
AA536743	1	-1.014725274725275
1500001L15Rik	1	-1.2876617826617827
Atbf1	2	-3.1251465201465205
Ndufs7	2	-1.0976068376068375
Zfp259	1	-1.1344322344322342
Trappc5	1	-1.5043406593406594
Ndufb2	1	-1.3819658119658123
D7Bwg0611e	1	-1.5793894993894988
Ccm2	1	-1.5153601953601945
A430104N18Rik	1	-2.6641758241758233
1500035H01Rik	1	-1.6492185592185593
2310032N20Rik	1	-1.7918925518925517
Csnk2a2	1	-1.8827167277167272
Hagh	1	-1.473253968253968
5730409F23Rik	1	-1.6839010989010987
Hgf	1	-0.9346886446886449
Phka2	1	-2.2204945054945058
Villp	1	-1.9599694749694752
2610042O14Rik	1	-1.8235592185592182
1700054N08Rik	2	-0.9112520780398656
6530402N02Rik	1	-1.938974358974358
Mll3	2	-1.2720922480544565
1110032N12Rik	1	-1.736098901098901
2700067D09Rik	1	-1.4149084249084252
2900010M23Rik	2	-1.3796489621489623
Ncoa1	1	-1.556886446886447
Nrbf1	1	-2.1267704517704518
Arl6ip4	2	-1.2797191697191697
Trpc2	2	-0.8537565993696583
9430015G10Rik	2	-0.7533228385343098
4930568P13Rik	1	-1.0644871794871795
9130221H12Rik	1	-1.9643772893772895
BC022641	1	-2.042673992673993
Llglh2	1	-1.1957936507936506
Tcf4	1	-1.2568070818070816
Slc39a4	1	-1.5837973137973136
C76800	1	-2.2490293040293037
4432404P07Rik	1	-1.3320879120879123
Tap1	2	-1.1676098901098901
Urkl1	1	-1.1192368742368743
Madh4	1	-1.5515506715506715
Cit	2	-1.5959344293371795
Mrpl53	1	-1.7552380952380946
Abhd8	1	-1.0774786324786327
Ndst2	1	-1.7195115995115997
BC042396	1	-2.6180097680097676
Fau	1	-0.904645909645909
1110039B18Rik	1	-0.9576556776556775
Usp19	1	-1.2479914529914529
Nt5c	1	-2.1060073260073255
AI790298	1	-1.5282356532356536
Slc43a3	2	-0.942934844365995
2410005K17Rik	1	-1.4889133089133086
Pabpn1	1	-1.0857142857142859
6430559E15Rik	1	-1.4631623931623925
3300001P08Rik	1	-1.193937728937728
Tyms	3	-0.766903122087912
Smarca4	2	-1.0180206437610497
Tctex1	1	-2.1033394383394377
D2Wsu81e	1	-1.4630463980463981
Grcc3f	1	-1.112625152625153
Ndufs8	2	-1.9502869352869354
2700094L05Rik	1	-1.8458302808302811
Mrpl2	1	-1.1446398046398047
Sra1	1	-1.0648351648351653
Rrbp1	1	-1.2515873015873005
6430517J16Rik	1	-1.472905982905983
Dyt1	1	-1.89547619047619
Azi1	2	-1.2672906170281442
Clcn2	2	-1.1226724387018927
Rps14	2	-0.8268112143963375
C77776	1	-4.221990231990231
Metapl1	1	-1.3961172161172157
2510006D16Rik	1	-2.2498412698412698
Dhx30	1	-1.6520024420024417
Uqcrc1	2	-1.1858211233211235
