Genes,Bersenev, Chambers, Flach, Grover, Kirshner, Kowalczyk, Lazare, Mann, Maryanovich, Norddahl, Sun, Wahlestedt,Avg,Consistency,Order
Serpinb6a,0.845396994,NA,NA,NA,NA,NA,NA,NA,0.651997078,1.015335276,0.889530138,1.053708807,0.891193659,5,86
Phactr1,0.656864536,NA,NA,NA,NA,0.29387179,NA,NA,NA,1.77215421,NA,NA,0.907630179,3,220
Jun,1.321758934,NA,NA,NA,0.54125292,NA,NA,0.583036378,1.204169439,NA,NA,NA,0.912554418,4,125
Art4,NA,NA,NA,0.582170578,NA,NA,NA,NA,0.70811015,1.557193956,0.827680572,NA,0.918788814,4,183
Prcp,0.921887555,NA,0.622744064,NA,NA,NA,NA,NA,0.842609892,0.999471945,1.1475762,1.030513222,0.927467146,6,49
Slamf1,0.658486977,NA,NA,NA,NA,NA,NA,NA,1.023913231,1.080048771,0.997220594,0.882014603,0.928336835,5,94
Sema7a,NA,NA,0.951749018,NA,NA,NA,NA,NA,NA,1.092742526,0.788711257,0.888918424,0.930530306,4,180
Arhgef28,0.691200139,NA,0.900397192,NA,NA,NA,NA,NA,NA,0.984461368,NA,1.173231099,0.93732245,4,152
Dhx40,0.563655793,NA,NA,NA,NA,NA,NA,NA,1.333529229,NA,0.826659159,1.028678067,0.938130562,4,157
Cxcl16,0.828093137,NA,NA,NA,NA,NA,NA,NA,NA,0.601498335,1.020903082,1.335870555,0.946591277,4,143
Gpx3,NA,NA,NA,NA,NA,0.583650642,NA,0.287881877,1.9022427,NA,1.014272636,NA,0.947011964,4,186
Acsl4,NA,1.77875926,NA,NA,NA,NA,NA,NA,0.426694785,1.092949519,0.497032033,NA,0.948858899,4,173
Slc14a1,NA,2.040307441,0.69742772,NA,NA,NA,NA,NA,0.650981191,NA,0.446908751,NA,0.958906276,4,160
Tbc1d8,NA,NA,NA,NA,NA,NA,NA,NA,0.65951127,1.283994896,0.786795026,1.117510248,0.96195286,4,198
Nckap1,0.77915963,NA,NA,NA,NA,NA,NA,NA,NA,1.286258247,0.867665631,0.967570577,0.975163521,4,146
Pros1,1.016819374,NA,NA,NA,NA,0.268108054,NA,NA,0.99939873,1.201036934,1.125562484,1.255583056,0.977751438,6,45
Prtn3,NA,NA,NA,NA,NA,1.235046819,NA,0.677969771,0.827183736,1.308002621,0.991070389,0.840102205,0.979895923,6,58
Arhgap29,0.709707424,NA,NA,NA,NA,NA,NA,NA,0.810764981,1.322988758,1.043702927,1.035647115,0.984562241,5,92
