Genes,Bersenev,Chambers,Flach,Grover,Kirshner,Kowalczyk,Lazare,Mann,Maryanovich,Norddahl,Sun,Wahlestedt,Avg
Adgrg2,0.001030604,NA,0.165750476,NA,1,NA,0.041738295,NA,7.25E-27,0.263130495,2.77E-15,0.488274199,2.45E-01
Tacstd2,0.001400781,0.037415323,0.538472871,1,0.306750864,0.373577707,0.928069826,NA,8.24E-05,0.040339785,3.57E-05,0.452667079,3.34E-01
Zswim5,0.002136277,NA,NA,NA,NA,NA,0.997572655,NA,4.56E-05,0.463259799,7.01E-15,0.490676686,3.26E-01
B3galt1,0.000715522,0.850274273,0.77655752,NA,NA,NA,0.872150585,NA,0.000905946,0.186866228,3.24E-09,0.367407897,3.82E-01
Cyyr1,0.007914198,0.930766131,0.301764797,NA,1,NA,0.134893553,NA,0.745402939,0.385466987,0.000635724,0.338262149,4.27E-01
Mab21l2,0.03500022,0.140011068,0.06440078,NA,NA,NA,0.000818412,0.132105734,9.14E-17,0.001971372,1.71E-72,0.367768939,8.25E-02
Casp12,0.002136277,0.185722252,0.753450933,1,NA,0.358689357,0.272390322,NA,3.71E-09,0.016971402,2.16E-09,0.013176746,2.60E-01
Kcnip3,0.019860017,0.582948868,0.081515136,1,NA,0.278802912,0.615496633,NA,1.91E-07,0.767093274,1.78E-05,0.62710054,3.97E-01
Mgst1,0.003302358,0.583845292,0.069048877,1,1,-0.426438836,0.997572655,NA,3.10E-05,0.554410407,0.917144053,0.4548172,4.69E-01
Hnf4a,0.011138267,0.586617918,0.559413646,NA,NA,NA,0.975444679,NA,3.92E-05,0.422033923,7.06E-20,0.449498977,3.76E-01
Fhl1,0.008948058,0.026201967,0.05428372,0.003776176,1,0.451518039,0.196960009,1,2.79E-22,0.449565221,1.71E-12,0.49252014,3.07E-01
Pcdhb16,0.003469546,0.2829115,0.252773976,1,NA,NA,0.01663194,NA,0.000187237,0.371665244,5.54E-11,0.432406325,2.62E-01
Dsg2,0.003989611,0.327902267,0.715592339,NA,1,NA,0.18213255,NA,8.13E-10,0.357624936,9.40E-26,0.315629529,3.23E-01
Trim47,0.046932567,0.065831342,0.063137542,1,NA,0.427830816,0.10793125,1,0.540593879,0.005553054,2.96E-09,0.004604052,2.97E-01
Zfp36,0.010173263,0.028655485,0.1738706,1,0.009191765,1.000153767,0.988542218,NA,0.596363067,0.721755465,0.723820601,0.877407673,5.57E-01
C4b,0.004585506,NA,0.249600053,NA,NA,NA,0.026054805,NA,3.17E-21,NA,7.55E-47,NA,5.60E-02
Gipc2,0.011711419,0.306452243,0.320130643,NA,NA,NA,0.994455917,NA,9.14E-17,0.028944948,1.18E-23,0.014280714,2.09E-01
Pros1,0.0005874,0.0700669,0.686769783,NA,NA,0.268108054,0.997572655,NA,8.42E-08,0.003832604,2.28E-09,0.017791817,2.27E-01
Matn4,0.017547485,0.082401352,0.426596841,NA,NA,NA,0.013679143,0.022257729,1.80E-62,0.253158332,1.06E-69,0.029297856,9.39E-02
Plek,0.043471471,0.041892557,0.06669519,0.041564083,1,0.35579959,0.997572655,1,1.41E-18,0.167029198,0.000985182,0.372831729,3.41E-01
Tmem215,0.021705143,NA,0.166286602,NA,1,NA,0.025352567,NA,2.45E-15,0.326757201,2.36E-23,0.35125694,2.36E-01
Csf2rb,0.007414678,0.739519575,0.024449278,NA,NA,NA,NA,1,NA,0.034118337,NA,0.078519884,3.14E-01
Rhoj,0.001729699,0.061048644,0.622926155,NA,NA,NA,0.726031887,NA,3.89E-05,0.006052095,4.95E-12,0.017935177,1.79E-01
Itgb3,0.007914198,0.309559006,0.017649036,1.08E-05,0.316720157,NA,3.09E-05,0.000579304,8.05E-32,0.500509647,3.21E-16,0.459192185,1.47E-01
Tmem56,0.026978612,0.031721544,0.930298291,1,NA,NA,0.385597079,NA,0.443257827,0.519405774,0.000147746,0.666962941,4.45E-01
Stom,0.041036638,0.473183678,0.157068289,NA,NA,NA,0.022345647,NA,0.002698702,0.713930487,0.01982254,0.656444514,2.61E-01
Lsr,0.021353602,0.563300931,0.053603885,NA,NA,NA,0.069115695,NA,0.008689896,0.463210004,9.80E-09,0.593024349,2.22E-01
Ect2,0.012281746,0.039152701,0.024449278,NA,NA,NA,0.842458113,NA,0.845579831,0.151291404,3.33E-05,0.568613544,3.10E-01
Cd34,0.020062974,0.658621293,0.027321394,1,1,-0.640145115,0.000386282,0.112660283,0.060765137,0.129327789,2.03E-05,0.069903066,2.03E-01
Cpne8,0.004659101,NA,0.610149978,0.066048418,NA,NA,0.122826901,0.008408451,3.29E-19,0.061065214,1.28E-17,0.213513181,1.21E-01
Prcp,0.010642739,0.111961886,0.032532669,1,1,NA,0.38051139,0.356358279,1.46E-08,0.430794203,1.16E-07,0.480680879,3.46E-01
Fyb,0.007414678,0.120715279,0.010833696,NA,1,0.303729695,NA,NA,NA,0.024731615,NA,0.139757565,2.30E-01
Abcb1a,0.025041374,0.221714001,0.100569297,NA,NA,NA,0.925702346,NA,6.75E-06,0.011610198,5.34E-05,0.014766283,1.62E-01
Pbx3,0.007748135,0.014471716,0.087931491,0.007781607,NA,NA,0.000398081,NA,0.000527388,0.016707953,1.43E-13,0.012909499,1.65E-02
Myo1e,0.029334403,0.760862455,0.224941779,NA,NA,NA,0.391916098,NA,9.71E-07,0.348922751,4.33E-07,0.362330324,2.65E-01
Zfp334,0.030310339,0.509798251,0.585170471,NA,NA,NA,0.985731605,NA,0.001840131,0.457711893,6.02E-09,0.618359146,3.99E-01
Serpinb6a,0.007414678,0.18554694,0.701043423,NA,NA,NA,0.499833207,NA,0.00584036,0.015467815,2.52E-06,0.027246409,1.80E-01
Serpinb8,0.026988224,0.471690901,0.256050535,1,NA,NA,0.764659811,NA,0.000168528,0.315270084,0.010836671,0.426457679,3.64E-01
Cxcl16,0.028624023,0.183430653,0.37641359,NA,NA,NA,0.876484328,NA,0.141909565,0.133582516,0.002331698,0.105679428,2.31E-01
Ppp1r16b,0.015448806,0.273849282,0.339688505,1,NA,NA,0.7840879,0.02927084,0.00261286,0.523010435,1.33E-06,0.492238465,3.46E-01
Il15,0.023388168,0.211941521,0.054530785,NA,NA,-0.543056096,0.118203839,NA,0.016343513,0.106103497,4.70E-05,0.028796594,1.81E-03
Tm6sf1,0.018297694,0.335453499,0.859857771,NA,NA,NA,0.947705361,NA,0.000316751,0.055814269,0.001717703,0.456040557,3.34E-01
